Ano	Autor	CodigodoPPG	Idioma	Orientador
2017	JOYCE SIQUEIRA	52001016027P2	PORTUGUES	FABRIZZIO ALPHONSUS ALVES DE MELO NUNES SOARES
2017	LUIZ PAULO DAMILTON CORREA	32001010004P6	PORTUGUES	RAQUEL OLIVEIRA PRATES
2017	RODRIGO SOARES E SILVA	31021018009P9	PORTUGUES	SIDNEY CUNHA DE LUCENA
2019	WALBER JOSE ADRIANO SILVA	25001019004P6	INGLES	DJAMEL FAWZI HADJ SADOK
2018	DANIELLE NOVAES DE SIQUEIRA VALVERDE	25001019004P6	PORTUGUES	RUY JOSE GUERRA BARRETTO DE QUEIROZ
2018	CIRO LUIZ ARAUJO CEISSLER	33003017005P8	INGLES	GUIDO COSTA SOUZA DE ARAUJO
2020	BARTIRA PARAGUACU FALCAO DANTAS ROCHA	23001011022P9	PORTUGUES	THAIS VASCONCELOS BATISTA
2020	RAFAEL JOSE DE ALENCAR ALMEIDA	32018010044P4	PORTUGUES	DARLINTON BARBOSA FERES CARVALHO
2019	RACHEL VITAL SIMOES	31001017004P3	PORTUGUES	TOACY CAVALCANTE DE OLIVEIRA
2017	TELMO OLIVEIRA DE JESUS	27001016029P4	PORTUGUES	MICHEL DOS SANTOS SOARES
